1:1	0.1856
3:1	0.0054
5:1	0.0088
6:1	0.0048
8:1	0.019
10:1	0.0041
12:1	0.0068
17:1	0.0122
16:1	0.0187
19:1	0.0068
18:1	0.0282
21:1	0.0037
20:1	0.0037
23:1	0.0081
25:1	0.0061
24:1	0.0105
27:1	0.0058
26:1	0.0112
29:1	0.0041
28:1	0.0757
30:1	0.0804
35:1	0.0102
32:1	0.0098
33:1	0.0146
38:1	0.0037
36:1	0.0085
37:1	0.0041
46:1	0.0115
47:1	0.0102
44:1	0.0187
45:1	0.0068
50:1	0.0058
49:1	0.0044
48:1	0.0214
55:1	0.0119
52:1	0.0119
58:1	0.0553
57:1	0.017
56:1	0.0041
63:1	0.0041
62:1	0.0071
68:1	0.0102
71:1	0.0071
67:1	0.0048
76:1	0.0159
77:1	0.0448
78:1	0.0153
79:1	0.0112
73:1	0.0098
84:1	0.0143
81:1	0.0153
80:1	0.0037
83:1	0.0343
82:1	0.0037
95:1	0.0041
94:1	0.0037
89:1	0.0075
88:1	0.0071
91:1	0.0048
90:1	0.0102
96:1	0.0102
97:1	0.0115
68:2	0.0204
69:2	0.0221
2:2	0.2462
71:2	0.0187
5:2	0.034
8:2	0.0323
76:2	0.0204
77:2	0.0407
79:2	0.0187
17:2	0.0255
18:2	0.0238
23:2	0.0204
83:2	0.0272
92:2	0.0187
27:2	0.0204
26:2	0.0204
89:2	0.0204
88:2	0.0238
28:2	0.039
91:2	0.0204
30:2	0.073
32:2	0.0238
33:2	0.0255
36:2	0.0238
97:2	0.0238
47:2	0.0187
44:2	0.0221
48:2	0.0255
52:2	0.0221
58:2	0.0289
1:3	0.0019
3:3	0.2355
4:3	0.0013
5:3	0.003
6:3	0.0066
7:3	0.0013
8:3	0.0303
10:3	0.0042
11:3	0.0019
12:3	0.0034
15:3	0.0016
17:3	0.0044
16:3	0.007
19:3	0.0035
18:3	0.0415
21:3	0.0022
23:3	0.0025
22:3	0.0013
25:3	0.0064
24:3	0.005
27:3	0.0019
26:3	0.0075
29:3	0.0042
28:3	0.0365
31:3	0.0022
30:3	0.1177
35:3	0.0025
32:3	0.003
33:3	0.0075
38:3	0.0028
39:3	0.004
36:3	0.005
37:3	0.002
42:3	0.0015
41:3	0.0014
46:3	0.0088
47:3	0.0153
44:3	0.0266
45:3	0.0068
50:3	0.0036
49:3	0.0013
48:3	0.0067
55:3	0.008
54:3	0.0018
53:3	0.0013
52:3	0.0228
59:3	0.0014
58:3	0.0177
57:3	0.0252
56:3	0.017
63:3	0.0026
62:3	0.002
60:3	0.003
68:3	0.0043
69:3	0.0013
70:3	0.0019
71:3	0.015
65:3	0.0015
67:3	0.0015
76:3	0.0077
77:3	0.0183
78:3	0.0081
79:3	0.0221
72:3	0.0028
73:3	0.0023
74:3	0.0041
75:3	0.002
84:3	0.0057
87:3	0.0022
81:3	0.0032
80:3	0.0037
83:3	0.0477
82:3	0.002
95:3	0.0076
89:3	0.0042
88:3	0.0025
91:3	0.0016
90:3	0.004
100:3	0.0014
98:3	0.0013
99:3	0.0018
96:3	0.0025
97:3	0.0793
3:4	0.0217
33:4	0.0256
4:4	0.2801
97:4	0.0256
8:4	0.0355
77:4	0.0454
78:4	0.0217
79:4	0.0237
47:4	0.0237
44:4	0.0355
17:4	0.0217
84:4	0.0256
48:4	0.0256
18:4	0.0316
83:4	0.0434
58:4	0.0414
57:4	0.0256
26:4	0.0256
28:4	0.0907
30:4	0.1302
1:5	0.006
2:5	0.0046
3:5	0.006
5:5	0.2609
6:5	0.0043
7:5	0.003
8:5	0.014
9:5	0.0027
12:5	0.0046
14:5	0.0025
15:5	0.0027
17:5	0.0165
16:5	0.0096
19:5	0.0037
18:5	0.0156
23:5	0.0053
25:5	0.0034
24:5	0.011
27:5	0.005
26:5	0.019
29:5	0.0043
28:5	0.0563
31:5	0.003
30:5	0.0879
35:5	0.005
32:5	0.0094
33:5	0.0371
36:5	0.005
37:5	0.0046
40:5	0.0025
46:5	0.0082
47:5	0.006
44:5	0.0103
45:5	0.0053
50:5	0.0032
49:5	0.0025
48:5	0.0185
55:5	0.0089
53:5	0.0027
52:5	0.0137
58:5	0.0355
57:5	0.0064
56:5	0.0041
63:5	0.0027
68:5	0.0119
69:5	0.0156
71:5	0.005
66:5	0.0032
67:5	0.0043
76:5	0.0142
77:5	0.0309
78:5	0.0133
79:5	0.0092
73:5	0.005
74:5	0.0032
84:5	0.0092
81:5	0.0055
83:5	0.0146
93:5	0.0025
92:5	0.0249
94:5	0.0032
89:5	0.0053
88:5	0.0076
91:5	0.0526
90:5	0.0043
96:5	0.0037
97:5	0.0071
1:6	0.0034
3:6	0.0136
5:6	0.0046
6:6	0.2475
8:6	0.0444
9:6	0.0029
10:6	0.0083
11:6	0.0044
12:6	0.0039
17:6	0.0049
16:6	0.0075
19:6	0.0034
18:6	0.0357
23:6	0.0032
25:6	0.0036
24:6	0.0087
27:6	0.0027
26:6	0.01
29:6	0.0058
28:6	0.0357
31:6	0.0027
30:6	0.0898
35:6	0.0027
32:6	0.0044
33:6	0.0236
38:6	0.0051
39:6	0.0049
36:6	0.0063
37:6	0.0032
46:6	0.0104
47:6	0.0112
44:6	0.0216
45:6	0.0061
50:6	0.0036
49:6	0.0061
48:6	0.0095
55:6	0.0068
52:6	0.044
58:6	0.0214
57:6	0.017
56:6	0.0134
63:6	0.0027
62:6	0.0029
60:6	0.0051
68:6	0.0107
71:6	0.0136
65:6	0.0034
67:6	0.0029
76:6	0.0083
77:6	0.0238
78:6	0.0073
79:6	0.0233
74:6	0.0058
75:6	0.0041
84:6	0.0092
87:6	0.0032
81:6	0.0056
80:6	0.0044
83:6	0.0437
93:6	0.0032
95:6	0.0078
94:6	0.0029
89:6	0.0046
88:6	0.0032
90:6	0.0034
96:6	0.0051
97:6	0.0223
3:7	0.0146
71:7	0.0146
5:7	0.0173
66:7	0.0173
7:7	0.1238
8:7	0.016
76:7	0.016
77:7	0.0386
78:7	0.0266
79:7	0.02
17:7	0.0173
84:7	0.0266
16:7	0.0293
19:7	0.0186
18:7	0.0213
86:7	0.0213
23:7	0.0146
83:7	0.028
24:7	0.0186
95:7	0.016
26:7	0.02
89:7	0.0186
29:7	0.0173
88:7	0.02
28:7	0.0306
30:7	0.0346
90:7	0.0173
35:7	0.016
100:7	0.0173
33:7	0.02
99:7	0.016
97:7	0.0146
43:7	0.0146
41:7	0.0146
46:7	0.024
47:7	0.0146
44:7	0.016
45:7	0.016
50:7	0.0173
48:7	0.0293
55:7	0.0186
58:7	0.0413
57:7	0.02
56:7	0.0146
1:8	0.0014
2:8	5.0E-4
3:8	0.0066
4:8	5.0E-4
5:8	0.0016
6:8	0.0047
7:8	3.0E-4
8:8	0.3795
9:8	4.0E-4
10:8	9.0E-4
11:8	0.001
12:8	0.0015
13:8	3.0E-4
14:8	5.0E-4
15:8	6.0E-4
17:8	0.0087
16:8	0.0065
19:8	0.001
18:8	0.0319
21:8	9.0E-4
20:8	3.0E-4
23:8	0.001
22:8	8.0E-4
25:8	0.0028
24:8	0.0027
27:8	8.0E-4
26:8	0.0087
29:8	0.0016
28:8	0.0505
31:8	6.0E-4
30:8	0.1616
34:8	5.0E-4
35:8	0.0018
32:8	0.003
33:8	0.016
38:8	0.0013
39:8	0.0016
36:8	0.0021
37:8	0.001
42:8	6.0E-4
43:8	3.0E-4
40:8	9.0E-4
41:8	4.0E-4
46:8	0.0091
47:8	0.0052
44:8	0.0212
45:8	0.0054
50:8	6.0E-4
49:8	9.0E-4
48:8	0.0052
55:8	0.0055
54:8	5.0E-4
53:8	4.0E-4
52:8	0.0219
59:8	4.0E-4
58:8	0.031
57:8	0.0107
56:8	0.0066
63:8	5.0E-4
62:8	9.0E-4
61:8	3.0E-4
60:8	0.001
68:8	0.0057
69:8	3.0E-4
70:8	0.0011
71:8	0.0065
64:8	4.0E-4
65:8	8.0E-4
66:8	4.0E-4
67:8	7.0E-4
76:8	0.0059
77:8	0.0221
78:8	0.0067
79:8	0.0086
72:8	5.0E-4
73:8	0.0015
74:8	0.002
75:8	6.0E-4
85:8	5.0E-4
84:8	0.0052
87:8	4.0E-4
86:8	4.0E-4
81:8	0.0031
80:8	0.0012
83:8	0.0454
82:8	5.0E-4
93:8	6.0E-4
92:8	4.0E-4
95:8	0.0021
94:8	8.0E-4
89:8	0.0013
88:8	0.0012
91:8	9.0E-4
90:8	0.0012
98:8	5.0E-4
99:8	3.0E-4
96:8	0.0014
97:8	0.0319
68:9	0.0218
5:9	0.0201
6:9	0.0201
67:9	0.0201
76:9	0.0218
8:9	0.0251
9:9	0.1591
77:9	0.0469
78:9	0.0251
79:9	0.0251
17:9	0.0201
84:9	0.0285
16:9	0.0469
19:9	0.0184
18:9	0.0352
83:9	0.0402
24:9	0.0436
26:9	0.0218
28:9	0.0402
30:9	0.0586
33:9	0.0503
97:9	0.0184
41:9	0.0201
44:9	0.0184
48:9	0.0251
55:9	0.0268
52:9	0.0184
58:9	0.0637
57:9	0.0201
1:10	0.0081
3:10	0.0243
6:10	0.023
8:10	0.025
10:10	0.1681
11:10	0.0088
15:10	0.0074
17:10	0.0081
16:10	0.0115
19:10	0.0088
18:10	0.0257
23:10	0.0088
24:10	0.0108
26:10	0.0169
29:10	0.0095
28:10	0.0351
30:10	0.0662
32:10	0.0088
33:10	0.0128
39:10	0.0074
36:10	0.0108
37:10	0.0074
46:10	0.0128
47:10	0.0149
44:10	0.0209
45:10	0.0115
50:10	0.0088
49:10	0.0081
48:10	0.0115
55:10	0.0108
52:10	0.0398
58:10	0.0216
57:10	0.0196
56:10	0.0196
63:10	0.0095
62:10	0.0101
60:10	0.0074
68:10	0.0108
71:10	0.023
76:10	0.0135
77:10	0.0176
78:10	0.0081
79:10	0.023
73:10	0.0081
74:10	0.0108
84:10	0.0095
81:10	0.0081
83:10	0.0311
82:10	0.0074
95:10	0.0108
94:10	0.0074
89:10	0.0115
90:10	0.0074
96:10	0.0088
97:10	0.0432
3:11	0.0233
71:11	0.0407
33:11	0.016
36:11	0.016
6:11	0.0262
97:11	0.0494
8:11	0.0552
77:11	0.0233
10:11	0.0189
79:11	0.0233
11:11	0.2878
47:11	0.0203
44:11	0.0305
18:11	0.0291
48:11	0.0174
83:11	0.0523
52:11	0.0581
58:11	0.0174
57:11	0.0305
56:11	0.0174
28:11	0.0392
30:11	0.1076
1:12	0.0051
3:12	0.0074
5:12	0.0051
6:12	0.0041
8:12	0.0147
12:12	0.1386
15:12	0.003
17:12	0.0058
16:12	0.0147
19:12	0.0061
18:12	0.0322
23:12	0.0058
25:12	0.0124
24:12	0.0081
27:12	0.0033
26:12	0.0074
29:12	0.0063
28:12	0.0533
31:12	0.0048
30:12	0.0759
35:12	0.0051
32:12	0.0084
33:12	0.0084
39:12	0.003
36:12	0.0071
46:12	0.0206
47:12	0.0345
44:12	0.0261
45:12	0.014
50:12	0.016
48:12	0.0122
55:12	0.0145
54:12	0.0079
52:12	0.0076
58:12	0.0452
57:12	0.0201
56:12	0.0043
63:12	0.0102
62:12	0.0043
60:12	0.0038
68:12	0.0046
71:12	0.0069
66:12	0.003
76:12	0.0251
77:12	0.0355
78:12	0.018
79:12	0.0272
73:12	0.0152
84:12	0.0091
81:12	0.0076
80:12	0.0048
83:12	0.0457
82:12	0.0056
95:12	0.0043
89:12	0.0074
88:12	0.0041
91:12	0.0028
90:12	0.0546
100:12	0.0028
99:12	0.0033
96:12	0.0051
97:12	0.0201
33:13	0.0417
18:13	0.0451
83:13	0.0382
8:13	0.0382
77:13	0.0521
58:13	0.0833
13:13	0.434
28:13	0.1111
30:13	0.1562
68:14	0.0217
35:14	0.0217
32:14	0.0336
33:14	0.0375
5:14	0.0217
36:14	0.0257
76:14	0.0336
8:14	0.0356
77:14	0.0415
14:14	0.2332
44:14	0.0217
17:14	0.0217
